extreme,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
"""Tatort"" aus dem Norden: Furtwängler-""Tatort"": Kopflos im Alten Land. In ihrem neuen Fall ""Letzte Ernte"" ermittelt Charlotte Lindholm (Maria Furtwängler) in einem verschworenen Bauernmilieu wie in einem Agatha-Christie-Klassiker.",0.0,1.0,0.0,1.0,1.0
"""Tatort: Letzte Ernte"": Zerplatzte Träume auf dem Apfelhof. Charlotte Lindholm ermittelt allein im Apfelanbaugebiet Altes Land nach dem Tod eines Aushilfsbauern. Lohnt sich der Krimi?",0.0,1.0,0.0,1.0,1.0
"4 Kilo Äpfel: Zahlen und F… [+4125 chars]""",0.0,1.0,0.0,1.0,1.0
"4 Kilo Äpfel: Zahlen und F… [+4299 chars]""",0.0,1.0,0.0,1.0,1.0
"4,93 von 5 Sternen: Elbenwald verkauft beliebte ""Harry Potter""-Kuscheldecke jetzt zum magischen Sparpreis. Der Herbst wird kuschelig und „Potterheads“ machen es sich in einer Kuscheldecke mit populärem Motiv gemütlich.",0.0,1.0,0.0,1.0,1.0
70 percent of the wine harvest lost - is the 2024 vintage really that bad? The controversial 2024 vintage surprises with quality despite adverse conditions. The best wines from Germany – tested by the BILD wine columnist.,0.0,1.0,0.0,1.0,1.0
"73 minutes of shock: For me, the best horror film of the year is way ahead of the genre. If you want to experience horror from a completely different perspective, you should choose the shortest film from the cinema program at the end of October.",0.0,1.0,0.0,1.0,1.0
"73 minutes of shock: Many people haven't heard of the best horror film of the year. If you want to experience horror from a completely different perspective, you should choose the shortest film from the cinema program at the end of October.",0.0,1.0,0.0,1.0,1.0
"99  je Woche</li><li>jederzeit kündbar</li></ul>""",0.0,0.0,0.0,0.0,2.0
Abfischen: Abfischen am Moritzburger Schloss lockt Besucher an. Das Fisch- und Waldfest in Moritzburg ist jedes Jahr ein Besuchermagnet. Ein Highlight: das Abfischen des Moritzburger Schlossteiches. Vor allem Karpfen werden dabei in mehreren Fischzügen geerntet.,0.0,1.0,0.0,1.0,1.0
Agrar: Durchschnittliche Kürbisernte erwartet. Köln/Münster (lnw) - Ob als Suppe oder als Grusel-Deko für Halloween: Die Kürbissaison ist in vollem Gange. Die Ernte der dicken Früchte fällt in diesem,0.0,1.0,0.0,1.0,1.0
Agrar: Landwirtschaftskammer erwartet stabile Grünkohlpreise. Rendsburg (lno) - Die Landwirtschaftskammer Schleswig-Holstein erwartet diese Saison recht beständige Grünkohlpreise. Das sagte eine Sprecherin der,0.0,1.0,0.0,1.0,1.0
"Alle Haftung! 12 Kompakt-SUV-Winterreifen im Test. AUTO BILD hat zwölf aktuelle Winterreifen für kompakte SUV getestet – damit Sie bei Schnee, Eis und Nässe sicher durch den Winter kommen!",0.0,1.0,0.0,1.0,1.0
"Angst vor der SVP: Wie die Befürworter die EU-Verträge vor den nächsten Wahlen unter Dach und Fach bringen wollen. Spätestens im Sommer 2027 soll das Volk über das Vertragspaket abstimmen. Ein sportlicher Zeitplan. Ein internes Dokument zeigt, wie es gelingen könnte.",0.0,1.0,0.0,1.0,1.0
"Apples and pears ready for harvest: Urban fruit trees: Harvesting is usually possible without permission. Harvest without a guilty conscience: In many Thuringian cities, apples, pears, etc. can simply be picked. What you should still pay attention to and where it is even expressly desired.",0.0,1.0,0.0,1.0,1.0
"Attention!: If you make these 3 mistakes now, you will ruin your garden in winter. Even though the peak harvest season is coming to an end, there is still a lot to do in our garden. Above all, now is the time to protect our plants from frost and cold.",0.0,1.0,0.0,1.0,1.0
Aufregung zum „Tatort“-Finale - Fehlalarm! Sirenen schrecken Hamburg auf. Überall heulten Sirenen wegen Hochwasser. Polizei klärte Fehlalarm kurz nach 21.35 Uhr auf Twitter.,0.0,1.0,0.0,1.0,1.0
Autumn craft tips - What you can make with chestnuts and leaves. How can you bring autumn into your home? Read here what you can do with chestnuts and colorful leaves.,0.0,1.0,0.0,1.0,1.0
"Autumn storm sweeps over Germany - rain and squalls expected. Gusts, rain and falling temperatures: A strong autumn storm will sweep across the country from Thursday and will cause uncomfortable weather. It's likely to be cool and wet at the weekend too - goodbye golden autumn.",0.0,1.0,0.0,1.0,1.0
"Autumn storm: Now it's getting uncomfortable: ""Joshua"" brings storm and rain. Offenbach - Storm, rain and lower temperatures: Shortly before the weekend, autumn in Germany shows its unpleasant side. The",0.0,1.0,0.0,1.0,1.0
Bei Bayerischem Sportpreis - Emotionaler Dahlmeier-Moment unserer Biathlon-Stars. Sie wird diesen Winter wohl bei jedem Rennen in den Gedanken ihrer ehemaligen Teamkolleginnen mitrennen … Laura Dahlmeier (†31) wird...,0.0,1.0,0.0,1.0,1.0
Benefit from the fattening year: This is how you turn fresh acorns into delicious snacks. Collecting and using acorns offers surprising possibilities. Nutritionist Uwe Knop shares his knowledge about the fattening year.,0.0,1.0,0.0,1.0,1.0
Bird watching: Nabu: Bird migration can be observed in Thuringia. The occasional calls of the cranes can be heard as they rest in some places in Thuringia. Observations of autumn bird migration are possible.,0.0,1.0,0.0,1.0,1.0
"Blue light: Police warn of more accidents and break-ins in the fall. Darkness, wet leaves on the roads or slippery roads: the risk of accidents increases in autumn and winter. But burglaries are also increasing. The Berlin police warn of the dangers.",0.0,1.0,0.0,1.0,1.0
Cannabis-Legalisierung: Knapp 100 Cannabis-Anbauvereinigungen in NRW genehmigt. Fast 100 Cannabis-Clubs dürfen in NRW jetzt ganz legal anbauen – doch über deutlich mehr als 70 Anträge ist bisher nicht entschieden. Der Weg zur eigenen Ernte ist steinig.,0.0,1.0,0.0,1.0,1.0
Coalition committee ended - results open. Black and Red have announced an “autumn of reforms”. But the list of disagreements in the coalition is long and the mood is bad. It is still unclear whether the coalition committee was able to change anything about this.,0.0,1.0,0.0,1.0,1.0
Cold Wave,0.021568857072673076,0.3092172254325408,0.0581891185150261,0.1434757014297328,3636.0
"Cold protection: Dog coat for the winter: This is how your four-legged friend gets through the cold season. A dog coat protects against cold, wet and wind - but not everyone needs it. When a coat makes sense and which models are particularly recommended...",0.0,1.0,0.0,1.0,1.0
"Colds: How many respiratory infections are normal in young children? In the fall and winter, many children are constantly coughing up, one coughing episode leading to the next. When should you worry? A pediatrician explains it.",0.0,1.0,0.0,1.0,1.0
"Cozy Games : Wen streichel ich zuerst?. In Cozy Games geht es um Bücher, halbschläfrigen Hirn-Abfall oder Katzen. Hauptsache entschleunigt und ohne Stress. Vier Empfehlungen für den Herbst.",0.0,1.0,0.0,1.0,1.0
"Czech writer Ivan Klima dies. The writer Ivan Klima survived the Holocaust and was first celebrated for his works in communist Czechoslovakia, then banned because of a courageous speech. He has now died at the age of 94.",0.0,1.0,0.0,1.0,1.0
"Dad Sneeze - Darum niesen Väter so laut. Jeder Vater hat ihn – diesen einen Nieser, der klingt, als würde ein Gewitter losbrechen. Im Netz heißt das Phänomen „Dad Sneeze“ und TikTok & Co sind vo...",0.0,1.0,0.0,1.0,1.0
Danger in autumn - How do I not slip on wet leaves? Wear non-slip shoes and be careful to avoid falls on wet leaves in autumn.,0.0,1.0,0.0,1.0,1.0
"Date Ideen im Winter: Kreative Unternehmungen für kalte Tage. Wer sagt, dass Dates im Winter nicht aufregend sein können? Wir zeigen dir die gemütlichsten Date-Ideen für kalte Tage, die jedes Herz zum Schmelzen bringen.",0.0,1.0,0.0,1.0,1.0
"Den eleganten Retro-Trend jetzt schon tragen: Die Runway-Kombi, die 2026 alle lieben werden. Orange trifft auf Schokoladenbraun: Die Farbkombi wird 2026 eine große Rolle spielen. Doch der Trend lässt sich auch herbsttauglich stylen.",0.0,1.0,0.0,1.0,1.0
Denim-Trends: Diese Jeans sind jetzt angesagt. Von casual bis chic: Jeans machen im Herbst mit coolen Schnitten und frischen Farben auf sich aufmerksam. Diese Styles sind jetzt angesagt.,0.0,1.0,0.0,1.0,1.0
Deutsche Winzer: Weinernte fällt unerwartet schwach aus. Dieses Jahr ernten die deutschen Weinbaubetriebe deutlich weniger Trauben als gedacht. Laut dem Deutschen Weininstitut liegt das vor allem am kräftigen Regen im September. Die Qualität sei aber vielversprechend.,0.0,1.0,0.0,1.0,1.0
"Deutscher Urlauber bei Sturm ""Benjamin"" auf Insel Korsika gestorben. Ein deutscher Urlauber auf der französischen Mittelmeerinsel Korsika ist bei dem Sturm ""Benjamin"" ums Leben gekommen. Der 45-jährige Mann habe gemeinsam mit seiner Ehefrau und ihren zwei Kindern in einem Fluss gebadet, als der Wasserpegel infolge heftiger Gew…",0.0,1.0,0.0,1.0,1.0
Drought,0.02859808539557555,0.3139680400914057,0.06165176618547682,0.1470470760990823,2032.0
Earthquake,0.03296955956883023,0.30523163375738205,0.045048172159193225,0.12505532636348454,3085.0
Ein echtes Unikat - Ernte-Monster wird zum XXL-Grill. Im mexikanischen Bundesstaat Chihuahua wird ein Landwirtschafts-Monster zur Grill-Attraktion.,0.0,1.0,0.0,1.0,1.0
"Endspurt auf den Äckern: Regenfälle erschweren Kartoffelernte in Niedersachsen. Die Kartoffelbauern werden in diesem Jahr nicht richtig froh mit ihrer Ernte: Die große Menge sorgt für niedrige Preise. Und dann kommt noch das Wetter, das die Landwirte ausbremst.",0.0,1.0,0.0,1.0,1.0
"FC Winterthur already looked like a certain relegation in the fall - why should they be saved again? The club sensationally managed to stay in the league in May, but now it is in dire straits again. Before the game in Basel, FCW is still waiting for its first win.",0.0,1.0,0.0,1.0,1.0
Five years after BER opened: the capital's airport continues to make a loss. Berlin Brandenburg Airport (BER) opened in autumn 2020 - nine years late and three times more expensive than planned. It is still in the red and passenger numbers are also below expectations.,0.0,1.0,0.0,1.0,1.0
Flood,-0.04041593620387395,0.3156330815553509,0.06420898599886926,0.15697785219701163,3341.0
Flooding due to storm: Storm depression: campsite on Norderney under water. Norderney - The storm that swept across northern Germany caused damage on the East Frisian island of Norderney. Next to,0.0,1.0,0.0,1.0,1.0
Fog,-0.038998516152417194,0.3205284659534987,0.03877863863591742,0.12090890193056779,1051.0
"Forecast: Autumn weather in Bavaria - clouds, rain and a little sun. Autumn remains gray for the time being: snow is falling in the high mountains and rain in the southeast. Where it will stay dry in the next few days and when the sun will appear.",0.0,1.0,0.0,1.0,1.0
"Forecast: Windy, wet, cold: Baden-Württemberg in autumn mode. Here you will find information on the topic “Forecast”. Read “Windy, wet, cold: Baden-Württemberg in autumn mode” now.",0.0,1.0,0.0,1.0,1.0
"Gefahr für die Ärmsten: 900 Millionen Menschen laut UNO von Klima-Schocks bedroht. Knapp 80 Prozent der Ärmsten der Welt und damit fast 900 Millionen Menschen sind nach UN-Angaben den zunehmenden katastrophalen Folgen des Klimawandels direkt ausgeliefert. ""Niemand ist immun gegen die zunehmend häufigen und stärkeren Auswirkungen des Klimawa…",0.0,1.0,0.0,1.0,1.0
"Gelsenkirchen - Man (23) fends off robbery in the park. In Gelsenkirchen, a man (23) was injured in an attempted robbery in the park on Adenauerallee. The perpetrators fled without loot.",0.0,1.0,0.0,1.0,1.0
Heat Wave,0.025675353697976994,0.28447141268732634,0.07990616465287298,0.1639737709340013,4481.0
"Heimisches Obst: Viele Äpfel dank Streuobstwiesen - nur wohin damit?. Thalmässing (lby) - Die einen haben zu viel davon, die anderen gar keine - und wie bringt man das jetzt zusammen? Es geht um Apfelbäume. An ihnen gedieh",0.0,1.0,0.0,1.0,1.0
Herbst ist Einbruchzeit: Dunkle Jahreszeit lockt Einbrecher - Die wichtigsten Tipps. Mit der Zeitumstellung wird es noch früher dunkel und damit steigt das Risiko von Einbrüchen. Die Polizei warnt deshalb regelmäßig vor Einbrechern und gibt zu Beginn der Einbruchs-Hochsaison Tipps.,0.0,1.0,0.0,1.0,1.0
"Herbst-Suchbild: Nur 3 % erkennen, welcher Baum einzigartig ist. Bemerkst du immer selbst die kleinsten Kleinigkeiten und hast wahre Adleraugen? Dann kannst du dein Können jetzt mit unserem Suchbild beweisen.",0.0,1.0,0.0,1.0,1.0
"Hurrikan in Jamaika: Behörden warnen vor Krokodilen. Wegen des Hurrikans ""Melissa"" haben die Behörden des Karibikstaats Jamaika die Bewohner neben Sturm und Überschwemmungen vor einer weiteren Gefahr gewarnt - umherwandernden Krokodilen. Steigende Pegelstände in Flüssen und Sümpfen könnten dazu führen, dass Kro…",0.0,1.0,0.0,1.0,1.0
Important tips - firewood stored incorrectly? These tips will save your fireplace winter. Anyone who sits comfortably by the fireplace in winter knows: Nothing beats a crackling fire and the smell of burning wood. But so that he...,0.0,1.0,0.0,1.0,1.0
"In der Nähe - Die besten Wanderregionen für den Herbst. Der Herbst ist die beste Zeit für ausgedehnte Wandertouren. BILD stellt die schönsten Gebiete vor und zeigt, wieviel Unterkünfte dort kosten.",0.0,1.0,0.0,1.0,1.0
Invasive Nutrias: Zahl der erlegten Nutrias im Nordosten enorm gestiegen. Früher waren sie zur Zucht in Pelzfarmen eingesperrt. Inzwischen breiten sich Nutrias in freier Wildbahn rasant aus. Laut Jagdverband ist das nicht nur für den Hochwasserschutz gefährlich.,0.0,1.0,0.0,1.0,1.0
"Kann losgehen: Die Schnittsaison hat begonnen - Gehölze richtig schneiden. Blühende Hecken, gesunde Bäume und Vogelgezwitscher: Mit dem richtigen Schnitt zum perfekten Garten – aber nur, wenn Sie die entscheidenden Fehler im Herbst vermeiden.",0.0,1.0,0.0,1.0,1.0
"Kleinere Beeren und Regen im September: Weinernte geringer als geschätzt. Die Weinernte in Deutschland wird in diesem Jahr doch geringer ausgefallen als zunächst geschätzt. Das Deutsche Weininstitut in Bodenheim teilte am Mittwoch mit, erwartet werde nur ein Gesamtertrag von etwas unter acht Millionen Hektolitern - das wären fast f…",0.0,1.0,0.0,1.0,1.0
Krieg in der Ukraine: Odessas ausgebürgerter Bürgermeister nun unter Hausarrest. Erst entzieht der ukrainische Präsident Selenskyj dem Bürgermeister von Odessa die Staatsbürgerschaft. Nun ist der ehemalige Rathaus-Chef in Hausarrest und die Hafenstadt unter Militärverwaltung.,0.0,1.0,0.0,1.0,1.0
"Kürbisrisotto mit Maronen-Chili-Öl: Dieses Risotto treibt es so bunt wie der Herbst. Die Natur verfärbt sich gerade, das Risotto schließt sich an. Ausnahmsweise liegt die Farbe nicht nur am Kürbis, sondern vor allem an den mexikanischen Guajillo-Chilis.",0.0,1.0,0.0,1.0,1.0
Landeserntedankfest: Festumzug und Erntekrone - Stürmisches Landeserntedankfest. MV hat ein fröhliches Landeserntedankfest gefeiert. Regen und stürmisches Wetter taten der Stimmung keinen Abbruch - obwohl das Festprogramm etwas durcheinandergewirbelt wurde.,0.0,1.0,0.0,1.0,1.0
Landslide,-0.011185672959805118,0.3174077464545384,0.03863174989849776,0.11863828371295052,1642.0
Landwirtschaft: Bauern in Rheinland-Pfalz ernten deutlich mehr Obst. Rund 28.400 Tonnen Äpfel und deutlich mehr Kirschen als im Vorjahr: Das Statistische Landesamt meldet eine außergewöhnlich gute Baumobsternte in Rheinland-Pfalz.,0.0,1.0,0.0,1.0,1.0
Landwirtschaft: Erntedankfest mit guten Erträgen. Die diesjährige Ernte fällt in Thüringen gut aus. Politiker fordern dennoch mehr Unterstützung für die Landwirtschaft. Dafür gibt es auch schon konkrete Ideen.,0.0,1.0,0.0,1.0,1.0
"Leaves pose dangers: city cleaning once again collects up to 20,000 tons of leaves. Whether broom, sweeper or leaf blower - the Hamburg city cleaning department has declared war on autumn leaves. Although the colorful leaves are beautiful to look at, they can be dangerous.",0.0,1.0,0.0,1.0,1.0
"Maronen: Die unterschätzte Powerfrucht des Herbstes. Esskastanien galten lange als ""Brot der Armen"". Heute erleben sie eine Renaissance. Welche Kastanien essbar sind und wie man sie sonst noch nutzen kann.",0.0,1.0,0.0,1.0,1.0
"Meal Prep for Fall: One Fall Takeaway, Please!. Are you mourning the end of summer? Instead, enjoy autumn to the fullest! We have planned a week of lunch dishes for you - without any leftovers.",0.0,1.0,0.0,1.0,1.0
"More quality instead of quantity - first ski area introduces visitor limits. Madonna di Campiglio will introduce capacity limits from winter 2025/26 and limit ski passes to 14,000 on particularly busy days.",0.0,1.0,0.0,1.0,1.0
Motorradfahrer: TÜV warnt Biker vor Herbstgefahren auf Thüringens Straßen. Erfurt (th) - Der TÜV Thüringen warnt vor einem erhöhtem Unfallrisiko für Motorradfahrer im Herbst. Viele Biker nutzten die vielleicht letzten sonnigen,0.0,1.0,0.0,1.0,1.0
"Naturschutz: Neue Audio-Tour macht Buchenwald Grumsin zum Hörerlebnis. Schorfheide-Chorin (bb) - Alte Buchen, neue Klänge: Eine Audio-Tour soll den Weltnaturerbe-Wald Grumsin im Nordosten Brandenburgs zum Hörerlebnis machen.",0.0,1.0,0.0,1.0,1.0
Neue Apple Watches: Das ist die richtige Apple Watch für Sie. Drei neue Uhren hat Apple im Herbst herausgebracht. Nach drei Wochen Test ist klar: Die teuerste ist nicht unbedingt die beste.,0.0,1.0,0.0,1.0,1.0
"No pollination - 172 bee species threatened! Care about our harvest. In Europe, more and more wild bees and butterflies are threatened. The number of endangered species has doubled in ten years.",0.0,1.0,0.0,1.0,1.0
"Only for Gryffindors: Elbenwald sells cozy “Harry Potter” knitted dresses at an absolutely magical price. Autumn is calling - and with it comes cozy and warming items of clothing like the “Harry Potter” knitted dress, which is currently available as a bargain.",0.0,1.0,0.0,1.0,1.0
Orbán startet Unterschriftensammlung gegen angebliche EU-„Kriegspläne“. Der Ungarische Premier schürt Ängste vor einem „heißem Herbst“. Die Aktion soll auch der Mobilisierung der Wählerschaft für die Parlamentswahlen 2026 dienen.,0.0,1.0,0.0,1.0,1.0
Paris Fashion Week 2025: Brigitte Macron nimmt in der Front Row Platz. Auch diesen Herbst erstrahlt die Stadt an der Seine erneut im Licht der talentiertesten Modeschöpfer:innen und Stars der Paris Fashion Week. Vom 29. September bis zum 7. Oktober 2025 präsentieren die Labels ihre Kollektionen für den Frühling/Sommer 2026. BRIG…,0.0,1.0,0.0,1.0,1.0
Paris Fashion Week 2025: Sie führt ihre neue Frisur bei der Pariser Fashion Week aus. Auch diesen Herbst erstrahlt die Stadt an der Seine erneut im Licht der talentiertesten Modeschöpfer:innen und Stars der Paris Fashion Week. Vom 29. September bis zum 7. Oktober 2025 präsentieren die Labels ihre Kollektionen für den Frühling/Sommer 2026. BRIG…,0.0,1.0,0.0,1.0,1.0
"Paul Ronzheimer in Tel Aviv - „Diese Freude in den Gesichtern, ein schöner Morgen!“. Die Hamas lässt die letzten Geiseln frei. BILD-Vize Paul Ronzheimer ist auf dem Platz der Geiseln in Tel Aviv und erlebt einen Morgen der Freude und Erle...",0.0,1.0,0.0,1.0,1.0
"Pictures of the week: Flowers made of DNA react like living organisms. Tiny crystals of inorganic material and DNA react to their environment and adapt. In the future, they could release drugs in a targeted manner or break down pollutants.",0.0,1.0,0.0,1.0,1.0
"Planting, caring for, harvesting: Growing lamb's lettuce: These are the most important steps. The leafy vegetables known from the fairy tale of the same name contain many healthy vitamins and minerals. If you want to grow Rapunzel yourself, you only need to follow a few steps.",0.0,1.0,0.0,1.0,1.0
"Politische Versprechen: Was wird denn nun geliefert?. Der groß angekündigte Herbst der Reformen ist da. Doch wer Politik nur als Lieferservice versteht, übersieht das Entscheidende.",0.0,1.0,0.0,1.0,1.0
"Power für den Herbst: Das gesündeste Gemüse der Welt hat Hochsaison – das solltest du wissen. Im Oktober hat Brunnenkresse Saison. Das heimische Superfood steckt voller Vitamine, stärkt dein Immunsystem und bringt Frische in deine Herbstküche.",0.0,1.0,0.0,1.0,1.0
Precipitation,-0.03126529051987768,0.24937162721972164,0.05559123343527013,0.1305449575735462,545.0
Preise für Skilifte steigen auch heuer – erstmals über 80 Euro am Tag. Die kommende Wintersaison soll die heimische Tourismuswirtschaft wieder zu neuen Rekorden führen – bei den Nächtigungszahlen sowie bei den Preisen.,0.0,1.0,0.0,1.0,1.0
"Protecting lawns, helping animals - what to do with all the leaves in my garden? There is a lot to do in the garden in autumn. BILD explains when to cut perennials, empty hoses and why the leaves absolutely have to be removed from the lawn.",0.0,1.0,0.0,1.0,1.0
"Regimental roll call: Recruits from the Homeland Security Regiment take an oath of service. The Bundeswehr's Homeland Security Regiment 5 has been in existence for a year now, and its staff is stationed in Ohrdruf, Thuringia. Above all, it is intended to protect critical infrastructure.",0.0,1.0,0.0,1.0,1.0
"Regnerisch: Die Woche beginnt trüb und mit Regen. Offenbach (lrs) - Der Herbst wird wechselhafter in Rheinland-Pfalz und im Saarland. Der Tag beginnt mit dichten Wolken und Regen, wie der Deutsche",0.0,1.0,0.0,1.0,1.0
"Schilf-Glasflügelzikade: Wie man in der Elbaue der Zikade Herr werden will. Bisher schadet sie vor allem Zuckerrüben: Die Schilf-Glasflügelzikade ist ein Problem für Landwirte. Der Bundeslandwirtschaftsminister informiert sich in einer Modellregion, wie man sie loswird.",0.0,1.0,0.0,1.0,1.0
"Schöner als der Sommer. Der Herbst hat einen schlechten Ruf, aber er ist golden und besitzt einen eigenartigen Zauber. 50 Gründe, den Herbst zu lieben.",0.0,1.0,0.0,1.0,1.0
Sicherer Unterschlupf: Ein Igelhaus im Garten? So helfen Sie den Tieren durch den Winter. Im Herbst sieht man Igel auf der Suche nach einem Winterquartier. Durch fehlende Wald- und Wiesenflächen finden die Tiere kaum Rückzugsmöglichkeiten. Vielleicht möchten Sie helfen?,0.0,1.0,0.0,1.0,1.0
Snow Avalanche,-0.032844904659309095,0.3371918218054143,0.02861832944935438,0.10004724732007299,2166.0
Snow&Ice,0.014980645684897567,0.2915883684221119,0.060149734310660036,0.14883991679778275,4645.0
"Snowfall: Snow in the low mountain ranges - thaw follows on Monday. Leipzig - Some snow has fallen again at high altitudes in Saxony, Saxony, Anhalt and Thuringia. There are a few above 800 meters",0.0,1.0,0.0,1.0,1.0
Spanish rice with wild mushrooms: Are you also hungry for rice? Forest fruits instead of seafood: paella also tastes great with fresh wild mushrooms in autumn. The dish cooks in chicken broth and white wine and looks forward to Manchego shavings.,0.0,1.0,0.0,1.0,1.0
Spinnen im Winter: Warum sie ins Haus kommen und was zu tun ist. Wechselwarme Tiere fallen in Kältestarre und suchen frostfreie Orte. Manche Arten fressen sogar Lebensmittelmotten in der Küche.,0.0,1.0,0.0,1.0,1.0
Storm,0.0024283106872512597,0.31857285772435023,0.0543794308079062,0.13987930998534617,3719.0
Storm Surge,-0.05625910746812386,0.2477363572517149,0.032308743169398906,0.11832536866869942,122.0
"Swiss Alpine glaciers continue to melt at a record pace. The glaciers in the Alps are disappearing at a record pace. Lack of snow and heat waves have also driven ice melt this year, a report shows. Since 2015, a quarter of the ""eternal ice"" has melted. By Kathrin Hondl.",0.0,1.0,0.0,1.0,1.0
"Thanksgiving: State Thanksgiving is celebrated on the Baltic Sea. The harvest has been harvested, now it's time to celebrate. This year the state harvest festival will be held in Wismar and Poel. What to look forward to.",0.0,1.0,0.0,1.0,1.0
There is a concrete plan - new transfer rumors about Bellingham. BVB: New rumors about Jobe Bellingham's winter move,0.0,1.0,0.0,1.0,1.0
Thunderstorm,-0.027444894141581327,0.29184575220665965,0.032377403652747605,0.1077092534498824,2762.0
Tiere: Wegen Bauarbeiten - Alsterschwäne überwintern in Ohlsdorf. Eigentlich überwintern die Hamburger Alsterschwäne immer rund um den Eppendorfer Mühlenteich. Wegen der Vogelgrippe mal mit und mal ohne Zelt. Doch dieses Jahr ist alles anders. Das hat gute Gründe.,0.0,1.0,0.0,1.0,1.0
Time change 2025 - Will we set the clock back this Saturday? In autumn 2025 we will set the clocks back one hour to winter time. When exactly this happens and all further information you can read here.,0.0,1.0,0.0,1.0,1.0
"Tipps & Tools: Laub harken im Herbst: Muss das sein? Und wenn ja, wie geht es richtig?. Heulender Herbstwind pustet derzeit die Blätter von den Bäumen. Wo und warum Laub harken wichtig ist und wie man mit den bunten Blättern Gutes tun kann, verrät der Ratgeber.",0.0,1.0,0.0,1.0,1.0
Tropical Cyclone,7.850684884945868e-05,0.307026104937298,0.042971007103769415,0.12801219744184128,2335.0
Tsunami,0.04000960504072537,0.3067315303341975,0.027262947594897804,0.08953990095234501,723.0
USA: Hund flüchtet vor Gewitter – und wird 2800 Kilometer entfernt gefunden. Drei Monate lange war Corgie-Shepherd-Mix Opie in den USA verschwunden. Dann tauchte er wieder auf – nur weit entfernt von seiner Heimat in Kalifornien.,0.0,1.0,0.0,1.0,1.0
"Ukraine live blog: ++ NATO and EU are working on a “drone protection wall” ++. According to NATO Secretary General Rutte, the defense alliance is working with the EU on a defensive wall against drones. The number of young Ukrainians coming to Germany seeking protection rose in the summer.",0.0,1.0,0.0,1.0,1.0
